iter	Passed	Remaining
151	215	1201
152	215	1194
153	216	1187
154	216	1180
155	217	1174
156	217	1168
157	218	1162
158	218	1155
159	218	1149
160	219	1142
161	219	1136
162	220	1130
163	220	1124
164	220	1118
165	221	1112
166	221	1106
167	222	1100
168	222	1095
169	223	1091
170	224	1086
171	224	1081
172	225	1077
173	225	1072
174	226	1068
175	227	1063
176	227	1058
177	228	1053
178	228	1048
179	229	1043
180	229	1038
181	229	1033
182	230	1028
183	230	1023
184	231	1018
185	231	1013
186	232	1009
187	232	1004
188	233	999
189	233	995
190	233	990
191	234	986
192	234	981
193	235	977
194	235	972
195	236	968
196	236	964
197	236	959
198	237	955
199	237	951
200	238	948
201	239	945
202	239	942
203	240	938
204	241	935
205	241	932
206	242	928
207	243	925
208	243	922
209	244	919
210	245	916
211	245	912
212	246	909
213	246	905
214	247	902
215	247	898
216	247	894
217	248	891
218	248	887
219	249	883
220	249	880
221	250	876
222	250	873
223	251	870
224	251	866
225	252	863
226	252	859
227	253	856
228	253	854
229	254	851
230	254	848
231	255	845
232	256	842
233	256	839
234	256	836
235	257	833
236	257	829
237	258	826
238	258	823
239	259	820
240	259	817
241	259	814
242	260	811
243	260	808
244	261	805
245	261	802
246	262	799
247	262	797
248	263	794
249	263	791
250	264	788
251	264	785
252	265	782
253	265	779
254	265	777
255	266	774
256	266	771
257	267	768
258	267	766
259	268	764
260	269	762
261	269	760
262	270	757
263	271	755
264	271	753
265	272	750
266	272	748
267	273	746
268	273	743
269	274	741
270	274	739
271	275	737
272	276	735
273	276	732
274	277	730
275	277	727
276	277	725
277	278	723
278	278	720
279	279	718
280	279	715
281	280	713
282	280	710
283	281	708
284	281	706
285	281	703
286	282	701
287	283	699
288	283	698
289	284	696
290	284	694
291	285	692
292	286	690
293	286	688
294	287	686
295	287	684
296	288	682
297	288	680
298	289	678
299	289	676
300	290	674
301	290	672
302	291	670
303	291	668
304	292	666
305	292	664
306	293	662
307	294	660
308	294	658
309	295	657
310	295	655
311	296	653
312	297	652
313	297	650
314	298	648
315	299	647
316	299	645
317	300	644
318	300	642
319	301	640
320	302	638
321	302	637
322	303	635
323	303	633
324	304	632
325	305	630
326	305	629
327	306	627
328	307	626
329	307	625
330	308	623
331	309	621
332	309	620
333	310	618
334	310	616
335	311	615
336	312	613
337	312	612
338	313	611
339	314	609
340	315	608
341	315	607
342	316	605
343	316	604
344	317	602
345	318	601
346	318	599
347	319	598
348	319	596
349	320	595
350	320	593
351	321	591
352	321	589
353	322	588
354	322	586
355	323	584
356	323	582
357	324	581
358	324	579
359	324	577
360	325	576
361	325	574
362	326	572
363	326	570
364	327	569
365	327	568
366	328	566
367	329	565
368	330	564
369	330	563
370	331	561
371	331	560
372	332	558
373	333	557
374	333	556
375	334	555
376	334	553
377	335	551
378	335	550
379	336	548
380	336	546
381	337	545
382	337	543
383	337	542
384	338	540
385	338	539
386	339	537
387	339	536
388	340	534
389	341	533
390	341	531
391	341	530
392	342	528
393	343	527
394	343	526
395	344	525
396	344	523
397	345	522
398	346	521
399	346	519
400	347	518
401	347	517
402	348	516
403	349	515
404	349	513
405	350	512
406	350	510
407	351	509
408	351	507
409	351	506
410	352	504
411	352	503
412	353	502
413	353	500
414	354	499
415	354	498
416	355	496
417	355	495
418	356	493
419	356	492
420	357	491
421	357	489
422	358	488
423	358	487
424	359	486
425	360	485
426	360	484
427	361	483
428	362	482
429	362	481
430	363	479
431	363	478
432	364	477
433	364	475
434	365	474
435	365	473
436	366	471
437	366	470
438	367	469
439	367	467
440	368	466
441	368	465
442	369	463
443	369	462
444	370	461
445	370	460
446	371	459
447	371	458
448	372	457
449	373	456
450	374	455
451	374	454
452	375	453
453	376	452
454	376	451
455	377	449
456	377	448
457	378	447
458	378	446
459	379	445
460	380	444
461	380	443
462	381	441
463	381	440
464	381	439
465	382	438
466	382	436
467	383	435
468	383	434
469	384	433
470	384	432
471	385	431
472	385	429
473	386	428
474	386	427
475	387	426
476	387	425
477	388	424
478	389	423
479	390	422
480	390	421
481	391	420
482	391	419
483	392	418
484	393	417
485	393	416
486	394	415
487	394	414
488	395	412
489	395	411
490	396	410
491	396	409
492	396	408
493	397	407
494	397	405
495	398	404
496	398	403
497	399	402
498	399	401
499	399	399
500	400	398
501	400	397
502	401	396
503	401	395
504	402	394
505	402	393
506	403	392
507	404	391
508	404	390
509	405	389
510	406	388
511	406	387
512	407	386
513	407	385
514	408	384
515	409	383
516	409	382
517	410	381
518	410	380
519	411	379
520	411	378
521	412	377
522	412	376
523	412	375
524	413	374
525	413	372
526	414	371
527	414	370
528	415	369
529	415	368
530	416	367
531	416	366
532	417	365
533	417	364
534	417	363
535	418	362
536	419	361
537	419	360
538	420	359
539	420	358
540	421	357
541	422	356
542	422	355
543	423	354
544	423	353
545	424	352
546	424	351
547	425	350
548	425	349
549	425	348
550	426	347
551	426	346
552	427	345
553	427	344
554	428	343
555	428	342
556	428	341
557	429	340
558	429	339
559	430	338
560	430	337
561	431	336
562	431	335
563	432	333
564	432	332
565	432	331
566	433	331
567	434	330
568	434	329
569	435	328
570	436	327
571	436	326
572	437	325
573	438	325
574	438	324
575	439	323
576	439	322
577	440	321
578	440	320
579	440	319
580	441	318
581	441	317
582	442	316
583	442	315
584	443	314
585	443	313
586	444	312
587	444	311
588	445	310
589	445	309
590	446	308
591	446	307
592	447	306
593	447	305
594	448	304
595	448	304
596	449	303
597	450	302
598	451	302
599	451	301
600	452	300
601	452	299
602	453	298
603	454	297
604	454	296
605	455	295
606	455	294
607	456	294
608	456	293
609	457	292
610	457	291
611	458	290
612	458	289
613	459	288
614	459	287
615	460	286
616	460	285
617	460	284
618	461	283
619	461	282
620	462	282
621	462	281
622	463	280
623	463	279
624	464	278
625	465	277
626	465	277
627	466	276
628	466	275
629	467	274
630	468	273
631	468	272
632	469	272
633	469	271
634	470	270
635	470	269
636	471	268
637	472	267
638	472	267
639	473	266
640	473	265
641	474	264
642	474	263
643	475	262
644	475	261
645	476	260
646	476	259
647	476	259
648	477	258
649	477	257
650	478	256
651	479	255
652	479	254
653	480	254
654	480	253
655	481	252
656	482	251
657	482	250
658	483	250
659	483	249
660	484	248
661	484	247
662	485	246
663	486	246
664	486	245
665	487	244
666	488	243
667	489	243
668	489	242
669	489	241
670	490	240
671	490	239
672	491	238
673	491	237
674	492	237
675	492	236
676	493	235
677	494	234
678	494	233
679	495	233
680	495	232
681	496	231
682	497	230
683	497	230
684	498	229
685	499	228
686	499	227
687	500	226
688	500	226
689	501	225
690	502	224
691	502	223
692	503	222
693	503	222
694	504	221
695	504	220
696	504	219
697	505	218
698	505	217
699	506	217
700	506	216
701	507	215
702	507	214
703	508	213
704	509	213
705	510	212
706	510	211
707	511	210
708	511	210
709	512	209
710	512	208
711	513	207
712	513	206
713	514	206
714	514	205
715	515	204
716	515	203
717	516	202
718	516	201
719	517	201
720	517	200
721	518	199
722	518	198
723	518	197
724	519	196
725	519	196
726	520	195
727	520	194
728	521	193
729	521	192
730	522	192
731	522	191
732	522	190
733	523	189
734	524	189
735	524	188
736	525	187
737	526	186
738	526	186
739	527	185
740	527	184
741	528	183
742	529	183
743	529	182
744	530	181
745	530	180
746	531	179
747	531	179
748	532	178
749	533	177
750	533	176
751	534	176
752	535	175
753	536	174
754	536	174
755	536	173
756	537	172
757	537	171
758	538	171
759	539	170
760	540	169
761	540	168
762	541	168
763	541	167
764	542	166
765	543	165
766	543	165
767	544	164
768	545	163
769	545	162
770	545	162
771	546	161
772	546	160
773	547	159
774	547	159
775	548	158
776	548	157
777	549	156
778	549	155
779	550	155
780	550	154
781	550	153
782	551	152
783	551	152
784	552	151
785	552	150
786	553	149
787	554	149
788	554	148
789	555	147
790	556	146
791	556	146
792	557	145
793	558	144
794	558	144
795	559	143
796	559	142
797	560	141
798	560	140
799	560	140
800	561	139
801	561	138
802	562	137
803	562	137
804	563	136
805	563	135
806	564	134
807	564	134
808	564	133
809	565	132
810	565	131
811	566	131
812	566	130
813	567	129
814	567	128
815	568	128
816	569	127
817	569	126
818	570	126
819	570	125
820	571	124
821	571	123
822	572	123
823	573	122
824	573	121
825	574	120
826	574	120
827	575	119
828	575	118
829	576	118
830	576	117
831	576	116
832	577	115
833	577	115
834	578	114
835	578	113
836	579	112
837	579	112
838	580	111
839	580	110
840	581	109
841	581	109
842	581	108
843	582	107
844	582	106
845	583	106
846	584	105
847	584	104
848	585	104
849	586	103
850	586	102
851	587	101
852	587	101
853	588	100
854	588	99
855	589	99
856	590	98
857	590	97
858	591	97
859	591	96
860	592	95
861	592	94
862	593	94
863	593	93
864	593	92
865	594	91
866	594	91
867	595	90
868	595	89
869	596	89
870	596	88
871	597	87
872	597	86
873	598	86
874	598	85
875	599	84
876	600	84
877	600	83
878	601	82
879	602	82
880	602	81
881	603	80
882	603	80
883	604	79
884	604	78
885	605	77
886	605	77
887	606	76
888	606	75
889	607	75
890	607	74
891	608	73
892	608	72
893	609	72
894	609	71
895	609	70
896	610	70
897	610	69
898	611	68
899	611	67
900	612	67
901	612	66
902	613	65
903	613	65
904	614	64
905	615	63
906	615	63
907	616	62
908	616	61
909	617	61
910	618	60
911	618	59
912	619	59
913	619	58
914	620	57
915	620	56
916	621	56
917	621	55
918	622	54
919	622	54
920	623	53
921	623	52
922	624	52
923	624	51
924	625	50
925	625	50
926	626	49
927	627	48
928	627	47
929	628	47
930	628	46
931	629	45
932	630	45
933	630	44
934	631	43
935	631	43
936	632	42
937	632	41
938	633	41
939	634	40
940	634	39
941	635	39
942	636	38
943	636	37
944	637	37
945	637	36
946	638	35
947	638	35
948	639	34
949	639	33
950	639	32
951	640	32
952	640	31
953	641	30
954	641	30
955	642	29
956	642	28
957	643	28
958	643	27
959	644	26
960	645	26
961	646	25
962	646	24
963	647	24
964	647	23
965	648	22
966	649	22
967	649	21
968	650	20
969	650	20
970	651	19
971	651	18
972	652	18
973	652	17
974	653	16
975	653	16
976	654	15
977	654	14
978	654	14
979	655	13
980	655	12
981	656	12
982	656	11
983	657	10
984	657	10
985	658	9
986	659	8
987	659	8
988	660	7
989	661	6
990	661	6
991	662	5
992	662	4
993	663	4
994	664	3
995	664	2
996	665	2
997	665	1
998	666	0
999	666	0
